# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.055         	((-1.2563581e-03 9.2183570e-04 3.3279080e+03) (4.7448026e-07 5.2597416e-07 -4.7875175e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.2757848e-03 4.2782431e-03 -1.1519024e-06) (2.3607944e-07 -1.5925317e-07 2.8279604e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.056         	((3.5292498e-04 -1.1277803e-03 3.3285305e+03) (4.7299027e-07 5.2657917e-07 -4.7856364e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-3.1724796e-03 1.7603458e-03 -1.1574137e-06) (2.3614035e-07 -1.6013093e-07 2.8709426e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.057         	((-1.0052892e-03 8.7515984e-04 3.3278844e+03) (4.7146581e-07 5.2704650e-07 -4.7837603e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.0278197e-03 3.9651903e-03 -1.1555880e-06) (2.3614394e-07 -1.6105078e-07 2.9132717e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.058         	((3.4711928e-04 -1.3227393e-03 3.3284152e+03) (4.7025198e-07 5.2705938e-07 -4.7818919e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-3.2228890e-03 1.7610214e-03 -1.1581749e-06) (2.3594233e-07 -1.6214994e-07 2.9534806e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.059         	((-7.4696185e-04 1.0101843e-03 3.3278545e+03) (4.6893844e-07 5.2727966e-07 -4.7800282e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((9.9776788e-04 3.7007951e-03 -1.1581127e-06) (2.3589810e-07 -1.6325586e-07 2.9963880e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.06          	((1.5103826e-04 -1.2908052e-03 3.3283067e+03) (4.6755900e-07 5.2718349e-07 -4.7781717e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-3.0656460e-03 2.0269841e-03 -1.1560678e-06) (2.3574928e-07 -1.6429183e-07 3.0364223e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.061         	((-3.5743519e-04 9.3721813e-04 3.3278188e+03) (4.6651526e-07 5.2692536e-07 -4.7763195e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((8.4158542e-04 3.2232419e-03 -1.1626918e-06) (2.3560109e-07 -1.6556651e-07 3.0756532e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.062         	((-5.3047070e-04 -1.1222820e-03 3.3282027e+03) (4.6485896e-07 5.2678369e-07 -4.7744733e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.7464332e-03 3.0011922e-03 -1.1569837e-06) (2.3560415e-07 -1.6621484e-07 3.1172014e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.063         	((1.0219854e-04 6.8777347e-04 3.3277795e+03) (4.6394348e-07 5.2627449e-07 -4.7726310e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((4.0837767e-04 2.5925690e-03 -1.1607445e-06) (2.3536375e-07 -1.6751995e-07 3.1558031e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.064         	((-6.0410428e-04 -9.2838224e-04 3.3281035e+03) (4.6299940e-07 5.2560261e-07 -4.7707941e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.3853245e-03 3.1432630e-03 -1.1636494e-06) (2.3523495e-07 -1.6872382e-07 3.1943330e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.065         	((4.5726201e-04 5.4272654e-04 3.3277359e+03) (4.6183416e-07 5.2490255e-07 -4.7689604e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.3489904e-04 2.1104362e-03 -1.1630101e-06) (2.3505577e-07 -1.6991625e-07 3.2351917e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.066         	((-1.2603762e-03 -8.5238252e-04 3.3280087e+03) (4.6035571e-07 5.2395153e-07 -4.7671321e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.1475947e-03 4.1487360e-03 -1.1658779e-06) (2.3493692e-07 -1.7053534e-07 3.2728674e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.067         	((1.1661425e-03 4.2731274e-04 3.3276895e+03) (4.5944396e-07 5.2282583e-07 -4.7653071e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.2056236e-04 1.1164858e-03 -1.1642885e-06) (2.3468114e-07 -1.7189097e-07 3.3101705e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.068         	((-1.7946029e-03 -6.7053301e-04 3.3279167e+03) (4.5805451e-07 5.2184236e-07 -4.7634868e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.8773964e-03 4.9542974e-03 -1.1668828e-06) (2.3456305e-07 -1.7261875e-07 3.3500020e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.069         	((1.5854930e-03 2.4179422e-04 3.3276399e+03) (4.5713363e-07 5.2070123e-07 -4.7616696e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-3.5104189e-04 5.0343260e-04 -1.1636671e-06) (2.3433669e-07 -1.7389944e-07 3.3888986e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
